0,41,413
1,582,208
2,344,386
3,423,471
4,38,107
5,498,459
6,559,273
7,586,232
8,339,416
9,620,204
10,560,361
11,372,426
12,435,474
13,368,474
14,341,63
15,282,392
16,315,372
17,579,408
18,297,161
19,107,172
20,476,413
21,426,417
22,88,483
23,452,126
24,581,451
25,605,300
26,378,395
27,299,267
28,478,116
29,614,354
30,295,155
31,540,348
32,496,50
33,499,78
34,385,143
35,223,469
36,610,409
37,521,68
38,471,48
39,326,410
40,412,421
41,133,71
42,128,185
43,225,500
44,158,73
45,585,350
46,584,316
47,434,407
48,449,365
49,494,248
50,614,251
51,87,207
52,94,194
53,593,300
54,245,284
55,97,489
56,449,193
57,96,386
58,551,122
59,312,302
60,279,200
61,483,435
62,546,274
63,418,429
64,60,151
65,135,80
66,77,394
67,78,205
68,136,481
69,205,294
70,320,333
71,535,394
72,556,236
73,467,230
74,460,488
75,308,465
76,165,460
77,71,375
78,298,448
79,488,161
80,91,162
81,466,151
82,404,91
83,346,168
84,168,450
85,160,115
86,548,81
