0,41,413
1,612,428
2,61,402
3,323,418
4,582,208
5,532,46
6,553,301
7,38,107
8,498,459
9,559,273
10,52,415
11,620,204
12,560,260
13,560,361
14,372,426
15,341,386
16,585,204
17,587,413
18,525,473
19,315,372
20,317,417
21,297,161
22,107,172
23,476,413
24,581,451
25,605,300
26,409,266
27,553,111
28,478,116
29,614,354
30,331,425
31,295,155
32,540,348
33,527,458
34,352,199
35,496,50
36,134,488
37,499,78
38,223,469
39,610,409
40,359,426
41,521,68
42,471,48
43,326,410
44,412,421
45,585,350
46,584,316
47,434,407
48,449,365
49,614,251
50,94,194
51,593,300
52,245,284
53,400,458
54,353,350
55,97,489
56,449,193
57,163,477
58,551,122
59,312,302
60,483,435
61,310,189
62,78,205
63,205,294
64,536,496
65,320,333
66,535,394
67,467,230
68,308,465
69,170,69
70,91,162
71,550,258
72,160,115
