0,50,415
1,593,210
2,353,388
3,435,473
4,47,108
5,509,460
6,571,274
7,596,235
8,350,416
9,632,205
10,571,363
11,383,428
12,446,475
13,379,477
14,352,63
15,292,392
16,326,374
17,589,409
18,307,162
19,117,173
20,487,415
21,436,418
22,99,484
23,461,127
24,592,453
25,615,302
26,389,396
27,311,268
28,490,118
29,624,356
30,306,156
31,551,350
32,507,51
33,510,78
34,397,145
35,232,471
36,621,411
37,532,69
38,483,50
39,336,412
40,422,423
41,144,72
42,138,187
43,236,502
44,169,74
45,596,352
46,596,318
47,445,409
48,460,367
49,505,249
50,624,253
51,98,209
52,104,195
53,604,302
54,255,286
55,108,491
56,460,194
57,103,387
58,562,123
59,322,305
60,290,199
61,494,437
62,557,277
63,428,431
64,70,151
65,145,82
66,87,395
67,88,207
68,145,484
69,215,296
70,330,335
71,546,395
72,568,238
73,477,232
74,469,489
75,318,467
76,176,461
77,80,377
78,309,449
79,499,162
80,101,162
81,476,151
82,416,93
83,358,171
84,178,451
85,170,115
86,558,82
