0,50,415
1,622,429
2,71,405
3,334,420
4,593,210
5,544,47
6,563,304
7,47,108
8,509,460
9,571,274
10,61,416
11,632,205
12,572,263
13,571,363
14,383,428
15,351,388
16,596,206
17,597,415
18,536,476
19,326,374
20,328,418
21,307,162
22,117,173
23,487,415
24,592,453
25,615,302
26,420,269
27,563,112
28,490,118
29,624,356
30,342,427
31,306,156
32,551,350
33,539,459
34,363,199
35,507,51
36,143,490
37,510,78
38,232,471
39,621,411
40,369,427
41,532,69
42,483,50
43,336,412
44,422,423
45,596,352
46,596,318
47,445,409
48,460,367
49,624,253
50,104,195
51,604,302
52,255,286
53,410,460
54,364,351
55,108,491
56,460,194
57,173,480
58,562,123
59,322,305
60,494,437
61,321,191
62,88,207
63,215,296
64,548,498
65,330,335
66,546,395
67,477,232
68,318,467
69,180,71
70,101,162
71,560,260
72,170,115
